fragment, used, inprojects, sloc, usedsloc, percent
10463856_0.java,1,1,56,8,0.14285714285714285
17601502_0.java,1,1,20,8,0.4
12708953_0.java,1,1,70,8,0.11428571428571428
4172798_0.java,1,1,18,8,0.4444444444444444
16819110_2.java,1,1,70,8,0.11428571428571428
22774943_0.java,1,1,78,8,0.10256410256410256
14294467_0.java,1,1,76,9,0.11842105263157894
14548919_0.java,1,1,83,9,0.10843373493975904
14164625_0.java,1,1,45,8,0.17777777777777778
13940219_0.java,1,1,51,8,0.1568627450980392
20445028_0.java,1,1,71,9,0.1267605633802817
10026804_0.java,1,1,39,9,0.23076923076923078
11745132_0.java,1,1,61,16,0.26229508196721313
14745245_0.java,1,1,58,16,0.27586206896551724
12557412_0.java,1,1,38,16,0.42105263157894735
12920411_0.java,1,1,13,10,0.7692307692307693
3982213_0.java,1,1,15,10,0.6666666666666666
13194411_0.java,1,1,29,10,0.3448275862068966
18232672_0.java,1,1,85,8,0.09411764705882353
14854738_0.java,1,1,79,9,0.11392405063291139
18271181_1.java,1,1,71,9,0.1267605633802817
2823775_0.java,1,1,17,9,0.5294117647058824
11876086_12.java,1,1,254,8,0.031496062992125984
21841246_0.java,1,1,41,11,0.2682926829268293
16440404_1.java,1,1,16,8,0.5
22287367_0.java,1,1,26,12,0.46153846153846156
25541267_0.java,1,1,24,11,0.4583333333333333
25678065_0.java,1,1,15,8,0.5333333333333333
13883510_0.java,1,1,15,8,0.5333333333333333
5498898_0.java,1,1,192,8,0.041666666666666664
1004772_1.java,1,1,48,10,0.20833333333333334
10368646_1.java,1,1,16,8,0.5
5972358_0.java,1,1,138,8,0.057971014492753624
12604600_0.java,1,1,115,13,0.11304347826086956
12913121_0.java,1,1,62,13,0.20967741935483872
12640454_0.java,1,1,58,13,0.22413793103448276
17175043_1.java,1,1,15,12,0.8
13171520_0.java,1,1,22,14,0.6363636363636364
15676695_0.java,1,1,86,14,0.16279069767441862
5149248_0.java,1,1,31,9,0.2903225806451613
3087149_5.java,1,1,68,12,0.17647058823529413
8326566_1.java,1,1,18,9,0.5
15185345_0.java,1,1,250,12,0.048
1805249_0.java,1,1,57,11,0.19298245614035087
20305524_2.java,1,1,158,10,0.06329113924050633
23432611_0.java,1,1,36,10,0.2777777777777778
5646946_0.java,1,1,49,10,0.20408163265306123
23274660_0.java,1,1,37,10,0.2702702702702703
6006241_1.java,1,1,17,10,0.5882352941176471
7139129_0.java,1,1,34,10,0.29411764705882354
11439019_0.java,1,1,111,9,0.08108108108108109
12105090_0.java,1,1,21,11,0.5238095238095238
14688811_0.java,1,1,41,12,0.2926829268292683
24104997_0.java,1,1,47,10,0.2127659574468085
3410864_3.java,1,1,127,9,0.07086614173228346
3589329_0.java,1,1,37,11,0.2972972972972973
16289376_0.java,1,1,88,12,0.13636363636363635
11867662_1.java,1,1,39,13,0.3333333333333333
15922910_0.java,1,1,147,12,0.08163265306122448
9355784_0.java,1,1,20,14,0.7
8722391_1.java,1,1,53,10,0.18867924528301888
14801030_1.java,1,1,19,10,0.5263157894736842
15555877_0.java,1,1,28,8,0.2857142857142857
2541950_0.java,1,1,13,10,0.7692307692307693
2541618_0.java,1,1,13,10,0.7692307692307693
24950209_0.java,1,1,64,8,0.125
5723813_0.java,1,1,30,14,0.4666666666666667
8416340_0.java,1,1,27,18,0.6666666666666666
9627911_0.java,1,1,25,15,0.6
25560938_0.java,1,1,50,15,0.3
980357_0.java,1,1,248,12,0.04838709677419355
10784241_0.java,1,1,83,8,0.0963855421686747
7836253_0.java,1,1,18,8,0.4444444444444444
5419632_0.java,1,1,120,8,0.06666666666666667
8276664_0.java,1,1,224,8,0.03571428571428571
9309361_0.java,1,1,86,8,0.09302325581395349
13131561_0.java,1,1,53,9,0.16981132075471697
16624592_0.java,1,1,81,12,0.14814814814814814
19617123_0.java,1,1,39,8,0.20512820512820512
6827892_0.java,1,1,68,8,0.11764705882352941
20632009_0.java,1,1,47,10,0.2127659574468085
8925656_0.java,1,1,35,12,0.34285714285714286
16591782_0.java,1,1,20,11,0.55
17966859_0.java,1,1,19,10,0.5263157894736842
9732384_0.java,1,1,105,10,0.09523809523809523
11482099_0.java,1,1,69,10,0.14492753623188406
13556775_0.java,1,1,12,8,0.6666666666666666
14002290_0.java,1,1,33,13,0.3939393939393939
14173799_1.java,1,1,23,11,0.4782608695652174
14246890_1.java,1,1,22,9,0.4090909090909091
15408066_0.java,1,1,96,18,0.1875
15425359_0.java,1,1,14,9,0.6428571428571429
22818246_0.java,1,1,13,9,0.6923076923076923
18647984_0.java,1,1,97,14,0.14432989690721648
21171228_0.java,1,1,33,9,0.2727272727272727
4010275_1.java,1,1,27,8,0.2962962962962963
7811769_1.java,1,1,54,10,0.18518518518518517
